GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"80hSCBcAOQ","Badminton Courts","Aberdeen Sports Centre","6/F Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Aberdeen","羽毛球場","香港仔體育館","香港仔大道203號香港仔市政大廈6樓","SOUTHERN","南區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","812311.0","833947.0","22.24956","114.15436","2010-01-13 18:47:41"
"1cydaZdr9K","Badminton Courts","Ap Lei Chau Sports Centre","8 Hung Shing Street, Apleichau","羽毛球場","鴨脷洲體育館","鴨脷洲洪聖街8號","SOUTHERN","南區","BASKETBALL COURTS,VOLLEYBALL COURTS,NETBALL COURTS,BADMINTON COURTS,BOWLING GREENS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,投球場,羽毛球場,草地滾球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","811748.0","834056.0","22.24448","114.15542","2010-01-13 18:48:50"
"oE9lBkYmBS","Badminton Courts","Boundary Street Sports Centre No. 1","200 Sai Yee Street, Mong Kok","羽毛球場","界限街一號體育館","太子洗衣街200號","YAU TSIM MONG","油尖旺","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS","籃球場,排球場,羽毛球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","820730.0","835654.0","22.32559","114.17091","2010-01-13 18:40:35"
"EdpKzCZswi","Badminton Courts","Boundary Street Sports Centre No. 2","200 Sai Yee Street, Mong Kok","羽毛球場","界限街二號體育館","太子洗衣街200號","YAU TSIM MONG","油尖旺","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","820784.0","835614.0","22.32608","114.17053","2010-01-13 18:40:29"
"xT2ewnA6PD","Badminton Courts","Bowen Road Temporary Playground","Bowen Road, Wan Chai, Hong Kong","羽毛球場","寶雲道臨時遊樂場","香港灣仔寶雲道","WAN CHAI","灣仔","N.A.","N.A.","24 hours daily","全日開放","2528 2983","2528 2983","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/facilities.php?ftid=8&did=15&fcid=8","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/facilities.php?ftid=8&did=15&fcid=8","N.A.","N.A.","814730.2","836058.5","22.27141","114.17484","2017-08-16 14:41:43"
"5b3iQ7asKm","Badminton Courts","Canton Road Playground","176 Canton Road, Kowloon","羽毛球場","廣東道遊樂場","九龍廣東道176號","YAU TSIM MONG","油尖旺","BADMINTON COURTS","羽毛球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","","","818015.1","835391.5","22.30108","114.16837","2009-11-30 14:22:15"
"C2cPEbqrpV","Badminton Courts","Chai Wan Sports Centre","6 Yee Shun Street, Chai Wan","羽毛球場","柴灣體育館","香港柴灣怡順街6號","EASTERN","東區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","814005.0","842765.0","22.26485","114.23991","2011-12-12 10:07:14"
"ZvenzVSC6B","Badminton Courts","Cheung Chau Sports Centre","Nam She Tong, Cheung Chau","羽毛球場","長洲體育館","長洲南蛇塘","ISLANDS","離島","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,GATEBALL COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,門球場,乒乓球檯,活動室,健身室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","807661.0","821245.0","22.20751","114.03118","2010-01-13 18:47:34"
"HxiWNNWV1l","Badminton Courts","Cheung Fat Sports Centre","4/F, Cheung Fat Shopping Centre, Cheung Fat Estate, Tsing Yi","羽毛球場","長發體育館","青衣長發邨長發商場四樓","KWAI TSING","葵青","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","824815.8","828627.9","22.36247","114.1027","2010-01-13 18:46:58"
"GEh3942DZP","Badminton Courts","Cheung Sha Wan Sports Centre","J/O Hing Wah Street & Cheung Sha Wan Road, Sham Shui Po","羽毛球場","長沙灣體育館","深水埗興華街與長沙灣道交界","SHAM SHUI PO","深水埗","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,TABLE TENNIS TABLES,OUTDOOR TABLE TENNIS TABLES","籃球場,排球場,羽毛球場,乒乓球檯,戶外乒乓球檯","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822100.0","833857.0","22.33797","114.15347","2010-04-08 12:36:55"
