GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"80hSCBcAOQ","Squash Courts","Aberdeen Sports Centre","6/F Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Aberdeen","壁球場","香港仔體育館","香港仔大道203號香港仔市政大廈6樓","SOUTHERN","南區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","812311.0","833947.0","22.24956","114.15436","2010-01-13 18:47:41"
"HccVVl6vJX","Squash Courts","Aberdeen Tennis & Squash Centre","1 Aberdeen Praya Road, Aberdeen","壁球場","香港仔網球及壁球中心","香港仔海旁道1號","SOUTHERN","南區","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","N.A.","N.A.","812089.0","834511.0","22.24756","114.15983","2009-10-29 18:45:49"
"1cydaZdr9K","Squash Courts","Ap Lei Chau Sports Centre","8 Hung Shing Street, Apleichau","壁球場","鴨脷洲體育館","鴨脷洲洪聖街8號","SOUTHERN","南區","BASKETBALL COURTS,VOLLEYBALL COURTS,NETBALL COURTS,BADMINTON COURTS,BOWLING GREENS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS,CHILDREN'S PLAY ROOMS","籃球場,排球場,投球場,羽毛球場,草地滾球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室,兒童遊戲室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","811748.0","834056.0","22.24448","114.15542","2010-01-13 18:48:50"
"EdpKzCZswi","Squash Courts","Boundary Street Sports Centre No. 2","200 Sai Yee Street, Mong Kok","壁球場","界限街二號體育館","太子洗衣街200號","YAU TSIM MONG","油尖旺","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","820784.0","835614.0","22.32608","114.17053","2010-01-13 18:40:29"
"C2cPEbqrpV","Squash Courts","Chai Wan Sports Centre","6 Yee Shun Street, Chai Wan","壁球場","柴灣體育館","香港柴灣怡順街6號","EASTERN","東區","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","814005.0","842765.0","22.26485","114.23991","2011-12-12 10:07:14"
"HxiWNNWV1l","Squash Courts","Cheung Fat Sports Centre","4/F, Cheung Fat Shopping Centre, Cheung Fat Estate, Tsing Yi","壁球場","長發體育館","青衣長發邨長發商場四樓","KWAI TSING","葵青","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","","","","","","","","","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","824815.8","828627.9","22.36247","114.1027","2010-01-13 18:46:58"
"QoeL48TDSd","Squash Courts","Choi Hung Road Sports Centre","Sheung Hei Street, Wong Tai Sin","壁球場","彩虹道體育館","黃大仙雙喜街","WONG TAI SIN","黃大仙","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822007.0","838285.0","22.33713","114.19645","2010-01-13 18:43:33"
"mpiOqHLiP9","Squash Courts","Chuk Yuen Sports Centre","Chuk Yuen North Estate, Chuk Yuen Road, Wong Tai Sin","壁球場","竹園體育館","黃大仙竹園道竹園北村","WONG TAI SIN","黃大仙","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822937.0","837982.0","22.34552","114.19351","2010-01-13 18:42:27"
"OzqXmDmoRg","Squash Courts","Cornwall Street Squash & Table Tennis Centre","J/O Cornwall Street & Tat Chee Avenue, Kowloon Tong","壁球場","歌和老街壁球及乒乓球中心","九龍塘歌和老街/達之路交界","SHAM SHUI PO","深水埗","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","822235.0","835840.0","22.33919","114.17272","2011-03-14 17:45:12"
"xQJ66ObwoT","Squash Courts","Fa Yuen Street Sports Centre","13/F Fa Yuen Street Municipal Services Building, 123A Fa Yuen Street, Mong Kok","壁球場","花園街體育館","旺角花園街123A號花園街市政大廈13樓","YAU TSIM MONG","油尖旺","BASKETBALL COURTS,VOLLEYBALL COURTS,BADMINTON COURTS,SQUASH COURTS,TABLE TENNIS TABLES,ACTIVITY ROOMS,FITNESS ROOMS,DANCE ROOMS","籃球場,排球場,羽毛球場,壁球場,乒乓球檯,活動室,健身室,舞蹈室","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportcentre.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportcentre.html","N.A.","N.A.","820197.0","835632.0","22.32078","114.1707","2010-01-13 18:44:07"
