GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,District,地區,Facility Type,設施種類,Opening Hours,開放時間,Telephone,聯絡電話,Fax Number,傳真號碼,Email Address,電郵地址,Website,網頁,Facility Details,設施詳情,Northing,Easting,Latitude,Longitude,Last Update
"MA5kQ8qVY2","Tennis Courts","Aberdeen Tennis & Squash Centre","1 Aberdeen Praya Road, Aberdeen","網球場","香港仔網球及壁球中心","香港仔海旁道1號","SOUTHERN","南區","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/tennis.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/tennis.html","N.A.","N.A.","812089.0","834511.0","22.24756","114.15983","2009-10-22 11:45:19"
"cDv67bRcec","Tennis Courts","Bowen Road Tennis Court","2B, Bowen Drive, Wan Chai","網球場","寶雲道網球場","灣仔寶雲徑2號B","WAN CHAI","灣仔","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/tennis.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/tennis.html","N.A.","N.A.","815074.0","835228.7","22.27452","114.16679","2009-08-20 14:51:16"
"Buh5wxV01I","Tennis Courts","Causeway Bay Sports Ground","Causeway Road, Causeway Bay","網球場","銅鑼灣運動場","銅鑼灣高士威道","WAN CHAI","灣仔","SPORTS GROUNDS, GRASS PITCHES, TENNIS COURTS","運動場, 草地球場, 網球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist/landsports/sportground.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist/landsports/sportground.html","N.A.","N.A.","815735.0","837686.0","22.28049","114.19063","2009-07-15 12:04:07"
"updsx7Sxwa","Tennis Courts","Chai Wan Park","Chai Wan Park, Tsui Wan Street, Chai Wan","網球場","柴灣公園","柴灣翠灣街柴灣公園","EASTERN","東區","PARK, HARD-SURFACE PITCHES, BASKETBALL COURTS, TENNIS COURTS, JOGGING TRACKS/FITNESS TRAILS, MODEL BOAT POOLS","公園, 硬地球場, 籃球場, 網球場, 緩跑徑/健身徑, 模型船池","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/parks/cwp/en/index.html","http://www.lcsd.gov.hk/parks/cwp/b5/index.html","7-a-side soccer pitch","7人足球場","814162.8","842618.3","22.26628","114.23849","2010-04-15 17:35:24"
"eP7Dau4kwi","Tennis Courts","Cherry Street Park","9 Hoi Ting Road, Mong Kok West","網球場","櫻桃街公園","旺角西海庭道9 號","YAU TSIM MONG","油尖旺","GRASS PITCHES, TENNIS COURTS, VOLLEYBALL COURTS, JOGGING TRACKS/FITNESS TRAILS, OPEN AIR THEATRES","草地球場, 網球場, 排球場, 緩跑徑/健身徑, 露天劇場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","7-a-side artificial turf soccer pitch","7人人造草地足球場","819625.0","835160.0","22.31562","114.16612","2009-11-12 15:37:29"
"ZIKGsvC4c8","Tennis Courts","Cheung Chau Park","29 Cheung Shek Road, Cheung Chau","網球場","長洲公園","長洲長碩路29號","ISLANDS","離島","TENNIS COURTS","網球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","N.A.","N.A.","807310.7","820620.7","22.20434","114.02513","2009-10-16 16:15:31"
"m85zEvbeVr","Tennis Courts","Choi Hung Road Playground","150 Choi Hung Road, San Po Kong","網球場","彩虹道遊樂場","新蒲崗彩虹道150號","WONG TAI SIN","黃大仙","HARD-SURFACE PITCHES, BASKETBALL COURTS, VOLLEYBALL COURTS, HANDBALL COURTS, ROLLER HOCKEY COURTS, TENNIS COURTS","硬地球場, 籃球場, 排球場, 手球場, 滾軸曲棍球場, 網球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","5-a-side soccer pitch, beach volleyball court","五人足球場, 沙灘排球場","822025.0","838224.0","22.33729","114.19586","2010-03-09 15:25:18"
"gk0LH4pJN8","Tennis Courts","Fanling Temporary Tennis Court","Area 11A, Fanling, N.T.","網球場","粉嶺臨時網球場","新界粉嶺11A區","NORTH","北區","TENNIS COURTS","網球場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","Tennis Practice Courts","網球練習場","839564.9","832391.0","22.49568","114.1392","2009-09-30 15:08:31"
"7rdgrgY1ch","Tennis Courts","Hin Tin Playground","Che Kung Miu Road, Tai Wai, Sha Tin","網球場","顯田遊樂場","沙田大圍車公廟路","SHA TIN","沙田","GRASS PITCHES, TENNIS COURTS, JOGGING TRACKS/FITNESS TRAILS, OPEN AIR THEATRES","草地球場, 網球場, 緩跑徑/健身徑, 露天劇場","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","N.A.","http://www.lcsd.gov.hk/en/facilities/facilitieslist.html","http://www.lcsd.gov.hk/tc/facilities/facilitieslist.html","11-a-side soccer pitch","11人足球場","825109.8","835739.8","22.36515","114.17175","2009-11-10 17:51:16"
"EPfx9pwB9q","Tennis Courts","Hiu Ming Street Playground","Hiu Ming Street, Kwun Tong","網球場","曉明街遊樂場","觀塘曉明街","KWUN TONG","觀塘","HARD-SURFACE PITCHES, BASKETBALL COURTS, TENNIS COURTS","硬地球場, 籃球場, 網球場","7 am to 11 pm (1 hour per session)","上午7時至晚上11時 (以1小時為1節計算)","2727 3278","2727 3278","N.A.","N.A.","N.A.","N.A.","","","7-a-side soccer pitch, Toilets and changing rooms are provided in the Playground","7人足球場，遊樂場內設有洗手間及更衣室","819652.0","841893.0","22.31585","114.23147","2015-05-08 14:49:16"
