name,rating,fullname,industry,scale,base,interviewdifficulty,averagesalary
网之易信息技术（北京）有限公司,5,网之易信息技术（北京）有限公司,互联网,1000-9999人,北京,3.5,23200
汇桔网,4.5,广州博鳌纵横网络科技有限公司,互联网,1000-9999人,广州,2.2,8000
乐芙科技,4.5,广州乐芙信息科技有限公司,互联网,100-499人,广州,2.4,8000
腾讯,4.4,腾讯科技（深圳）有限公司,互联网,10000人以上,深圳,3.3,13600
阿里巴巴,4.3,阿里巴巴（中国）网络技术有限公司,电子商务,10000人以上,杭州,3.3,10000
百度,4.3,百度在线网络技术(北京)有限公司,门户网站/搜索引擎,10000人以上,北京,3.4,10000
网易,4.3,网易（杭州）网络有限公司,互联网,1000-9999人,杭州,3,10560
支付宝,4.3,支付宝（中国）网络技术有限公司,互联网金融,1000-9999人,杭州,3.1,31600
百度北京分公司,4.2,百度时代网络技术（北京）有限公司,互联网,10000人以上,北京,3.2,23200
会小二,4.2,北京云动数字媒体技术有限公司,互联网,100-499人,北京,2.8,13000
蚂蚁金服,4.2,浙江蚂蚁小微金融服务集团股份有限公司,互联网金融,1000-9999人,杭州,3.2,31600
四喜,4.2,杭州四喜信息技术有限公司,互联网,1000-9999人,杭州,2.1,5750
优步,4.2,御驾（上海）网络技术服务有限公司,互联网,500-999人,上海,2.7,3500
知乎,4.2,北京智者天下科技有限公司,互联网,100-499人,北京,2.9,10000
IBM,4.1,国际商业机器（中国）投资有限公司,IT服务/系统集成,1000-9999人,北京,2.9,12640
iTutorGroup,4.1,威比网络科技（上海）有限公司,互联网,1000-9999人,上海,2.8,6000
阿里巴巴诚信通,4.1,阿里巴巴（中国）有限公司,电子商务,100-499人,杭州,3.1,23200
爱奇艺,4.1,北京爱奇艺科技有限公司,互联网,1000-9999人,北京,2.8,12025
百度糯米,4.1,北京糯米网科技发展有限公司,O2O,1000-9999人,北京,3.1,14000
百度深圳分公司,4.1,百度（中国）有限公司深圳分公司,互联网,10000人以上,深圳,3.2,6500
滴滴出行,4.1,北京小桔科技有限公司,互联网,1000-9999人,北京,2.8,11600
合一集团（优酷土豆）,4.1,合一网络技术（北京）有限公司,互联网,1000-9999人,北京,2.8,9254
华为,4.1,华为技术有限公司,通信设备,10000人以上,深圳,3,12340
普华永道（PWC）,4.1,普华永道会计师事务所,咨询,1000-9999人,上海,3,9350
盛大网络,4.1,上海盛大网络发展有限公司,互联网,1000-9999人,上海,2.7,8700
搜狐,4.1,北京搜狐新媒体信息技术有限公司,互联网,1000-9999人,北京,2.8,9480
苏州乐贝网络科技有限公司,4.1,苏州乐贝网络科技有限公司,互联网,100-499人,苏州,2.6,5300
百度广州分公司,4,百度（中国）有限公司广州分公司,互联网,1000-9999人,广州,3,23200
百度盘古,4,盘古网络技术有限公司,互联网,500-999人,天津,2.9,4500
北京口碑互联传媒广告有限公司,4,北京口碑互联传媒广告有限公司,互联网,100-499人,北京,1.4,10600
联想,4,联想（北京）有限公司,计算机硬件/网络设备,10000人以上,北京,2.9,8090
去哪儿网,4,北京趣拿软件科技有限公司,在线旅游,10000人以上,北京,2.7,10000
虾米音乐网,4,杭州阿里巴巴音乐科技有限公司,互联网,100-499人,杭州,4,31600
中公教育,4,北京中公未来教育咨询有限公司,其他技能培训,1000-9999人,北京,2.5,5300
触宝科技,3.9,上海触宝信息技术有限公司,互联网,100-499人,上海,2.8,18750
京东,3.9,北京京东世纪贸易有限公司,电子商务,10000人以上,北京,2.9,7000
美团网,3.9,北京三快在线科技有限公司,O2O,10000人以上,北京,2.9,6000
喜马拉雅公司,3.9,上海证大喜马拉雅网络科技有限公司,互联网,100-499人,上海,2.8,8000
一点资讯,3.9,北京一点网聚科技有限公司,互联网,500-999人,北京,2.6,19000
字节跳动,3.9,北京字节跳动网络技术有限公司,互联网,10000人以上,北京,2.9,8500
vivo智能手机,3.8,维沃移动通信有限公司,互联网,1000-9999人,东莞,2.7,31600
肯德基,3.8,百胜餐饮集团肯德基,餐饮,10000人以上,北京,2.3,2550
链家,3.8,北京链家房地产经纪有限公司,地产经纪/中介,1000-9999人,北京,2.4,6400
明基（BENQ）,3.8,明基电通有限公司,互联网,1000-9999人,上海,2.6,6320
顺丰速运,3.8,顺丰速运有限公司,物流/仓储,10000人以上,深圳,2.6,4491
携程旅行网,3.8,携程计算机技术(上海)有限公司,在线旅游,10000人以上,上海,2.7,6926
新东方,3.8,北京新东方教育科技（集团）有限公司,外语培训,100-499人,北京,2.7,4395
迅雷,3.8,深圳市迅雷网络技术有限公司,互联网,1000-9999人,深圳,2.9,9254
